driver_id,vehicle_id,node_x,node_y,lon,lat,available,capacity
1,1,952455.8441366567,1950812.5044444078,126.96171365277154,37.55543424828021,1,15
2,2,954555.8441366567,1950412.5044444078,126.9855133607666,37.55193495822732,1,15
3,3,952155.8441366567,1952712.5044444078,126.95819323314971,37.57254372813342,1,15
4,4,954955.8441366567,1952412.5044444078,126.98991883148584,37.569981033798825,1,15
5,5,954055.8441366567,1953112.5044444078,126.97968369558347,37.576245787600946,1,15
6,6,951455.8441366567,1951812.5044444078,126.95032609442276,37.56439524977714,1,15
7,7,955455.8441366567,1951012.5044444078,126.99566571595524,37.55738685460631,1,15
8,8,952855.8441366567,1953712.5044444078,126.96605564499488,37.581592999216966,1,15
9,9,956055.8441366567,1952712.5044444078,127.00235683222655,37.572738160947154,1,15
10,10,954355.8441366567,1949512.5044444078,126.98330518325011,37.543813167343075,1,15
