delivery_id,name,node_x,node_y,lon,lat,demand
1,배송지_01,951190.8441366567,1952882.5044444078,126.94725431543617,37.57402530165796,1
2,배송지_02,954583.8441366567,1951206.5044444078,126.98578117162708,37.559092833984835,2
3,배송지_03,953253.8441366567,1953305.5044444078,126.97058910388618,37.57794494659923,2
4,배송지_04,951170.8441366567,1952499.5044444078,126.9470533558976,37.57057221018064,1
5,배송지_05,951864.8441366567,1949482.5044444078,126.95511000687266,37.543416021686305,2
6,배송지_06,953814.8441366567,1953891.5044444078,126.97690536078542,37.583254984397655,1
7,배송지_07,955070.8441366567,1952818.5044444078,126.99119615265536,37.57364601257806,1
8,배송지_08,954960.8441366567,1952943.5044444078,126.98994280967977,37.574767286501405,1
9,배송지_09,953734.8441366567,1949652.5044444078,126.9762668623593,37.54504404989041,1
10,배송지_10,955694.8441366567,1951264.5044444078,126.99835638014112,37.559669716190065,2
11,배송지_11,953657.8441366567,1950866.5044444078,126.9753185376688,37.555982218292,1
12,배송지_12,951750.8441366567,1953646.5044444078,126.95354552131487,37.58094086134907,1
13,배송지_13,955345.8441366567,1952231.5044444078,126.99434607212943,37.56836864175716,2
14,배송지_14,953069.8441366567,1953126.5044444078,126.96851681138263,37.576322227282795,1
15,배송지_15,953358.8441366567,1950148.5044444078,126.97197907946594,37.549495647538265,2
16,배송지_16,951207.8441366567,1951785.5044444078,126.9475198638962,37.564138787433365,1
17,배송지_17,955983.8441366567,1949331.5044444078,127.0017444565345,37.54226096720232,2
18,배송지_18,955805.8441366567,1953150.5044444078,126.9994993984889,37.576673977811545,2
19,배송지_19,952315.8441366567,1952170.5044444078,126.96004033320898,37.56766689815645,2
20,배송지_20,951646.8441366567,1952803.5044444078,126.95242334375727,37.573337329346764,1
21,배송지_21,954858.8441366567,1950784.5044444078,126.98892069044386,37.55530277487016,1
22,배송지_22,951062.8441366567,1953866.5044444078,126.94573908515083,37.582887419614224,2
23,배송지_23,953329.8441366567,1953478.5044444078,126.97143876503942,37.57950808045544,1
24,배송지_24,954723.8441366567,1952904.5044444078,126.98726135225726,37.57440414525252,2
25,배송지_25,955215.8441366567,1949985.5044444078,126.99301121442726,37.54811862711571,1
26,배송지_26,952838.8441366567,1951346.5044444078,126.96601539032369,37.56026697839071,2
27,배송지_27,953642.8441366567,1949231.5044444078,126.97525203644753,37.54124485985793,2
28,배송지_28,953934.8441366567,1949783.5044444078,126.97852260135355,37.54623480190851,1
29,배송지_29,955115.8441366567,1952427.5044444078,126.99172969137051,37.570124046208676,1
30,배송지_30,956191.8441366567,1952736.5044444078,127.00389546877396,37.57296096026534,2
31,배송지_31,952855.8441366567,1953850.5044444078,126.9660467615529,37.58283681370692,1
32,배송지_32,953120.8441366567,1950641.5044444078,126.96925329563678,37.55392707585114,2
